Vivado Simulator 2018.2
Time resolution is 1 ps
T =   30.0 ps | State = RESET  | Next State = FETCH  | PC = 00000000 | IR = 00000000
T =  260.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000018 | IR = 8de10004
T =  270.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000018 | IR = 8de10004
T =  280.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000018 | IR = 8de10004
T =  290.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 8de10004
T =  300.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = 8de20008
T =  310.0 ps | State = LW_1   | Next State = LW_2   | PC = 0000001c | IR = 8de20008
T =  320.0 ps | State = LW_2   | Next State = WB_lw   | PC = 0000001c | IR = 8de20008
T =  330.0 ps | State = WB_lw  | Next State = FETCH  | PC = 0000001c | IR = 8de20008
T =  340.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = 8de20008
T =  350.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 8de3000c
T =  360.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000020 | IR = 8de3000c
T =  370.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000020 | IR = 8de3000c
T =  380.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000020 | IR = 8de3000c
T =  390.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 8de3000c
T =  400.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 8de40010
T =  410.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000024 | IR = 8de40010
T =  420.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000024 | IR = 8de40010
T =  430.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000024 | IR = 8de40010
T =  440.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 8de40010
T =  450.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000028 | IR = 8de50014
T =  460.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000028 | IR = 8de50014
T =  470.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000028 | IR = 8de50014
T =  480.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000028 | IR = 8de50014
T =  490.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 8de50014
T =  500.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000002c | IR = 8de60018
T =  510.0 ps | State = LW_1   | Next State = LW_2   | PC = 0000002c | IR = 8de60018
T =  520.0 ps | State = LW_2   | Next State = WB_lw   | PC = 0000002c | IR = 8de60018
T =  530.0 ps | State = WB_lw  | Next State = FETCH  | PC = 0000002c | IR = 8de60018
T =  540.0 ps | State = FETCH  | Next State = DECODE | PC = 0000002c | IR = 8de60018
T =  550.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000030 | IR = 8de7001c
T =  560.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000030 | IR = 8de7001c
T =  570.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000030 | IR = 8de7001c
T =  580.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000030 | IR = 8de7001c
T =  590.0 ps | State = FETCH  | Next State = DECODE | PC = 00000030 | IR = 8de7001c
T =  600.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000034 | IR = 8de80020
T =  610.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000034 | IR = 8de80020
T =  620.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000034 | IR = 8de80020
T =  630.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000034 | IR = 8de80020
T =  640.0 ps | State = FETCH  | Next State = DECODE | PC = 00000034 | IR = 8de80020
T =  650.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000038 | IR = 8de90024
T =  660.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000038 | IR = 8de90024
T =  670.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000038 | IR = 8de90024
T =  680.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000038 | IR = 8de90024
T =  690.0 ps | State = FETCH  | Next State = DECODE | PC = 00000038 | IR = 8de90024
T =  700.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000003c | IR = 8dea0028
T =  710.0 ps | State = LW_1   | Next State = LW_2   | PC = 0000003c | IR = 8dea0028
T =  720.0 ps | State = LW_2   | Next State = WB_lw   | PC = 0000003c | IR = 8dea0028
T =  730.0 ps | State = WB_lw  | Next State = FETCH  | PC = 0000003c | IR = 8dea0028
T =  740.0 ps | State = FETCH  | Next State = DECODE | PC = 0000003c | IR = 8dea0028
T =  750.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000040 | IR = 8deb002c
T =  760.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000040 | IR = 8deb002c
T =  770.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000040 | IR = 8deb002c
T =  780.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000040 | IR = 8deb002c
T =  790.0 ps | State = FETCH  | Next State = DECODE | PC = 00000040 | IR = 8deb002c
T =  800.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000044 | IR = 8dec0030
T =  810.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000044 | IR = 8dec0030
T =  820.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000044 | IR = 8dec0030
T =  830.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000044 | IR = 8dec0030
T =  840.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 8dec0030
T =  850.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 0c100015
T =  860.0 ps | State = JAL    | Next State = FETCH  | PC = 00000048 | IR = 0c100015
T =  870.0 ps | State = FETCH  | Next State = DECODE | PC = 00400054 | IR = 0c100015
T =  880.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400058 | IR = 8df10000
T =  890.0 ps | State = LW_1   | Next State = LW_2   | PC = 00400058 | IR = 8df10000
T =  900.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00400058 | IR = 8df10000
T =  910.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00400058 | IR = 8df10000
